,site,datetime,flow,dayofyear,min,max,10,25,50,75,90
518688,GYB,2023-05-31 13:15:00,3055.0,151.0,163.0,3858.0,227.0,304.0,882.0,1650.0,3026.5
518689,GYB,2023-05-31 13:30:00,3065.0,151.0,163.0,3858.0,227.0,304.0,882.0,1650.0,3026.5
518690,GYB,2023-05-31 13:45:00,3037.0,151.0,163.0,3858.0,227.0,304.0,882.0,1650.0,3026.5
518691,GYB,2023-05-31 14:00:00,2992.0,151.0,163.0,3858.0,227.0,304.0,882.0,1650.0,3026.5
518692,GYB,2023-05-31 14:15:00,3065.0,151.0,163.0,3858.0,227.0,304.0,882.0,1650.0,3026.5
518693,GYB,2023-05-31 14:30:00,3001.0,151.0,163.0,3858.0,227.0,304.0,882.0,1650.0,3026.5
518694,GYB,2023-05-31 14:45:00,3046.0,151.0,163.0,3858.0,227.0,304.0,882.0,1650.0,3026.5
518695,GYB,2023-05-31 15:00:00,3037.0,151.0,163.0,3858.0,227.0,304.0,882.0,1650.0,3026.5
518696,GYB,2023-05-31 15:15:00,2974.0,151.0,163.0,3858.0,227.0,304.0,882.0,1650.0,3026.5
518697,GYB,2023-05-31 15:30:00,3055.0,151.0,163.0,3858.0,227.0,304.0,882.0,1650.0,3026.5
518698,GYB,2023-05-31 15:45:00,2983.0,151.0,163.0,3858.0,227.0,304.0,882.0,1650.0,3026.5
518699,GYB,2023-05-31 16:00:00,3001.0,151.0,163.0,3858.0,227.0,304.0,882.0,1650.0,3026.5
518700,GYB,2023-05-31 16:15:00,2992.0,151.0,163.0,3858.0,227.0,304.0,882.0,1650.0,3026.5
518701,GYB,2023-05-31 16:30:00,3019.0,151.0,163.0,3858.0,227.0,304.0,882.0,1650.0,3026.5
518702,GYB,2023-05-31 16:45:00,3055.0,151.0,163.0,3858.0,227.0,304.0,882.0,1650.0,3026.5
518703,GYB,2023-05-31 17:00:00,3139.0,151.0,163.0,3858.0,227.0,304.0,882.0,1650.0,3026.5
518704,GYB,2023-05-31 17:15:00,3102.0,151.0,163.0,3858.0,227.0,304.0,882.0,1650.0,3026.5
518705,GYB,2023-05-31 17:30:00,3139.0,151.0,163.0,3858.0,227.0,304.0,882.0,1650.0,3026.5
518706,GYB,2023-05-31 17:45:00,3176.0,151.0,163.0,3858.0,227.0,304.0,882.0,1650.0,3026.5
518707,GYB,2023-05-31 18:00:00,3195.0,151.0,163.0,3858.0,227.0,304.0,882.0,1650.0,3026.5
518708,GYB,2023-05-31 18:15:00,3204.0,151.0,163.0,3858.0,227.0,304.0,882.0,1650.0,3026.5
