,site,datetime,swe,dayofyear,min,max,10,25,50,75,90
18317,CSL,2022-11-28,3.1,332.0,-0.2,12.5,0.010000000000000009,1.0750000000000002,2.3499999999999996,5.1,11.360000000000003
18318,CSL,2022-11-29,3.1,333.0,0.0,14.2,0.14000000000000004,1.4,2.3,5.1,12.060000000000002
18319,CSL,2022-11-30,3.0,334.0,-1.3,15.2,0.18000000000000008,1.95,2.4,5.1,11.180000000000001
18320,CSL,2022-12-01,3.0,335.0,-0.9,15.2,0.1,1.875,2.55,5.3,12.13
18321,CSL,2022-12-02,5.5,336.0,-0.3,17.2,0.1,2.2,3.2,5.6,11.48
18322,CSL,2022-12-03,5.5,337.0,0.1,17.4,0.4,2.475,3.2,5.8,12.6
18323,CSL,2022-12-04,6.8,338.0,0.0,17.4,0.25,2.1500000000000004,3.55,6.525,14.25
18324,CSL,2022-12-05,7.6,339.0,0.1,17.4,0.4,2.4,3.75,6.675,13.1
18325,CSL,2022-12-06,8.7,340.0,0.1,17.4,0.35,2.5,4.05,6.675,13.8
18326,CSL,2022-12-07,8.6,341.0,0.1,17.7,1.52,2.4,5.1,7.1,14.399999999999997
18327,CSL,2022-12-08,8.6,342.0,-0.6,18.9,1.5,2.3,4.9,8.6,14.54
18328,CSL,2022-12-09,9.1,343.0,0.1,18.9,1.4200000000000004,2.75,5.2,9.2,15.56
18329,CSL,2022-12-10,9.3,344.0,0.1,19.7,0.95,2.775,5.5,9.75,14.65
18330,CSL,2022-12-11,13.6,345.0,0.2,21.8,1.56,3.1,5.9,10.7,15.119999999999997
18331,CSL,2022-12-12,14.5,346.0,0.0,23.4,1.3400000000000005,3.05,6.2,10.5,14.5
18332,CSL,2022-12-13,14.5,347.0,0.1,23.4,2.6,4.15,7.5,11.05,15.100000000000001
18333,CSL,2022-12-14,14.5,348.0,0.6,23.4,2.44,4.1,7.3,11.375,16.070000000000004
18334,CSL,2022-12-15,14.5,349.0,0.9,23.4,2.6,4.5,7.4,11.075,15.100000000000009
18335,CSL,2022-12-16,14.5,350.0,1.7,23.4,2.6,4.8500000000000005,8.25,11.575,16.549999999999997
18336,CSL,2022-12-17,14.5,351.0,1.3,23.5,2.58,5.1,8.2,12.1,16.5
18337,CSL,2022-12-18,14.6,352.0,1.7,23.5,2.9,4.925,8.8,13.4,18.23
18338,CSL,2022-12-19,14.5,353.0,1.8,23.5,3.16,5.275,8.8,13.025,18.3
18339,CSL,2022-12-20,14.6,354.0,1.6,25.1,4.3500000000000005,6.075,8.899999999999999,12.775,18.3
18340,CSL,2022-12-21,14.6,355.0,1.6,25.4,3.9600000000000004,5.95,9.75,14.425,18.96000000000001
18341,CSL,2022-12-22,14.6,356.0,1.4,25.5,4.1000000000000005,6.449999999999999,9.6,15.149999999999999,18.720000000000006
18342,CSL,2022-12-23,14.5,357.0,0.0,25.8,3.0,6.55,9.8,15.25,18.680000000000007
18343,CSL,2022-12-24,14.6,358.0,1.5,25.9,3.8400000000000003,7.125,10.899999999999999,16.35,19.44
18344,CSL,2022-12-25,14.5,359.0,1.6,28.3,3.4000000000000004,6.95,11.7,16.25,18.84
18345,CSL,2022-12-26,14.5,360.0,1.6,28.3,5.050000000000001,6.95,10.0,16.65,19.65
18346,CSL,2022-12-27,16.1,361.0,1.7,29.9,3.85,7.45,11.0,17.775,19.900000000000006
18347,CSL,2022-12-28,16.5,362.0,1.8,30.6,4.140000000000001,7.775,11.3,18.125,22.010000000000005
18348,CSL,2022-12-29,16.6,363.0,1.7,30.6,5.250000000000001,8.725000000000001,12.65,18.150000000000002,23.78
18349,CSL,2022-12-30,17.5,364.0,1.6,31.2,4.3100000000000005,8.375,13.0,18.924999999999997,24.82
