,site,datetime,flow,dayofyear,min,max,10,25,50,75,90
218641,JBR,2023-05-31 14:00:00,3243.0,151.0,41.0,3409.0,61.0,95.0,397.0,1321.0,2719.2000000000003
218642,JBR,2023-05-31 15:00:00,3206.0,151.0,41.0,3409.0,61.0,95.0,397.0,1321.0,2719.2000000000003
218643,JBR,2023-05-31 16:00:00,3178.0,151.0,41.0,3409.0,61.0,95.0,397.0,1321.0,2719.2000000000003
218644,JBR,2023-05-31 17:00:00,3184.0,151.0,41.0,3409.0,61.0,95.0,397.0,1321.0,2719.2000000000003
218645,JBR,2023-05-31 18:00:00,3130.0,151.0,41.0,3409.0,61.0,95.0,397.0,1321.0,2719.2000000000003
218646,JBR,2023-05-31 19:00:00,3112.0,151.0,41.0,3409.0,61.0,95.0,397.0,1321.0,2719.2000000000003
218647,JBR,2023-05-31 20:00:00,3066.0,151.0,41.0,3409.0,61.0,95.0,397.0,1321.0,2719.2000000000003
218648,JBR,2023-05-31 21:00:00,3097.0,151.0,41.0,3409.0,61.0,95.0,397.0,1321.0,2719.2000000000003
218649,JBR,2023-05-31 22:00:00,3066.0,151.0,41.0,3409.0,61.0,95.0,397.0,1321.0,2719.2000000000003
218650,JBR,2023-05-31 23:00:00,3055.0,151.0,41.0,3409.0,61.0,95.0,397.0,1321.0,2719.2000000000003
218651,JBR,2023-06-01 00:00:00,3098.0,152.0,40.0,3646.0,60.0,88.0,424.0,1497.5,2567.2000000000007
218652,JBR,2023-06-01 01:00:00,3118.0,152.0,40.0,3646.0,60.0,88.0,424.0,1497.5,2567.2000000000007
218653,JBR,2023-06-01 02:00:00,3262.0,152.0,40.0,3646.0,60.0,88.0,424.0,1497.5,2567.2000000000007
218654,JBR,2023-06-01 03:00:00,3327.0,152.0,40.0,3646.0,60.0,88.0,424.0,1497.5,2567.2000000000007
218655,JBR,2023-06-01 04:00:00,3385.0,152.0,40.0,3646.0,60.0,88.0,424.0,1497.5,2567.2000000000007
218656,JBR,2023-06-01 05:00:00,3428.0,152.0,40.0,3646.0,60.0,88.0,424.0,1497.5,2567.2000000000007
218657,JBR,2023-06-01 06:00:00,3520.0,152.0,40.0,3646.0,60.0,88.0,424.0,1497.5,2567.2000000000007
